City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
294,nangavalli,11.75,77.8833,25.89,76,100,0.49,IN,1689533779
295,mossel bay,-34.1831,22.146,10.96,76,100,0.22,ZA,1689533779
296,bure,10.7,37.0667,14.69,99,100,0.38,ET,1689533779
297,puerto carreno,6.189,-67.4859,30.99,66,40,2.06,CO,1689533779
298,xilin hot,43.9667,116.0333,18.03,53,0,2.47,CN,1689533779
299,st. john's,47.5649,-52.7093,26.27,65,75,7.2,CA,1689533779
300,hinton,53.4001,-117.5857,25.31,37,64,2.16,CA,1689533779
301,bikenibeu village,1.3673,173.1241,27.98,78,20,2.06,KI,1689533780
302,trenggalek,-8.05,111.7167,21.22,95,43,0.81,ID,1689533536
303,sao jose da coroa grande,-8.8978,-35.1478,25.62,78,14,4.94,BR,1689533780
304,san jorge,-31.8962,-61.8598,13.8,37,13,3.17,AR,1689533599
305,juan griego,11.0817,-63.9655,29.74,69,24,7.05,VE,1689533781
306,timimoun,29.2639,0.231,43.21,5,0,5.66,DZ,1689533722
307,palpa,-14.5336,-75.1856,27.46,37,15,3.43,PE,1689533781
308,morehead city,34.7229,-76.726,32.79,83,0,9.26,US,1689533782
309,anak,38.5108,125.4942,20.84,93,100,0.44,KP,1689533782
310,baiyin,36.5583,104.2081,22.12,38,4,2.14,CN,1689533514
311,kikwit,-5.041,18.8162,27.79,25,4,1.68,CD,1689533731
312,taltal,-25.4,-70.4833,18.24,71,100,2.4,CL,1689533421
313,crailsheim,49.1344,10.0719,24.32,56,0,1.94,DE,1689533782
314,puerto lempira,15.2667,-83.7667,32.08,66,75,3.6,HN,1689533782
315,santo antonio do leverger,-15.8656,-56.0767,34.21,19,2,1.88,BR,1689533595
316,eydhafushi,5.1033,73.0708,28.37,77,8,6.37,MV,1689533783
317,tazovsky,67.4667,78.7,6.2,60,0,3.38,RU,1689533562
318,olinda,-8.0089,-34.8553,22.85,94,75,3.09,BR,1689533783
319,nova sintra,14.8667,-24.7167,23.1,84,100,3.33,CV,1689533657
320,dalandzadgad,43.5708,104.425,24.66,25,82,4.1,MN,1689533783
321,argo,37.6333,22.7333,31.55,46,0,1.82,GR,1689533578
322,agadez,19.75,10.25,33.95,8,67,2.91,NE,1689533784
323,posse,-14.0931,-46.3694,31.55,24,72,2.02,BR,1689533784
324,danville,36.586,-79.395,32.97,60,75,3.09,US,1689533646
325,tura,25.5198,90.2201,24.65,90,100,2.14,IN,1689533563
326,phan rang-thap cham,11.5667,108.9833,26.57,75,100,3.3,VN,1689533784
327,sarykemer,43.0,71.5,27.71,25,5,1.26,KZ,1689533785
328,narvik,68.4384,17.4272,16.67,89,100,2.92,NO,1689533785
329,waingapu,-9.6567,120.2641,22.17,85,100,3.97,ID,1689533785
330,arteche,12.2645,125.4048,25.2,88,52,2.03,PH,1689533785
331,gunnison,38.7,-107.0673,24.39,8,0,2.87,US,1689533785
332,mil'kovo,55.6078,37.7956,19.73,69,49,2.09,RU,1689533659
333,sogndal,61.2283,7.1003,17.21,72,75,2.06,NO,1689533785
334,i-n-salah,27.1935,2.4607,39.32,5,0,4.72,DZ,1689533615
335,fukuecho,32.6881,128.8419,26.75,90,0,7.08,JP,1689533786
336,huazhou,21.6333,110.5833,25.91,91,100,2.89,CN,1689533786
337,sinabang,2.4803,96.3801,26.07,84,39,1.73,ID,1689533757
338,belmonte,-15.8631,-38.8828,23.42,87,32,3.67,BR,1689533537
339,north side,19.35,-81.2,33.04,62,20,5.66,KY,1689533786
340,bandar lampung,-5.4254,105.258,23.36,95,49,2.02,ID,1689533786
341,ludwin,51.3461,22.9058,28.18,54,0,2.57,PL,1689533786
342,rovnoye,50.7765,46.0509,18.07,80,84,5.15,RU,1689533787
343,anadyr,64.75,177.4833,17.28,72,0,1.79,RU,1689533531
344,vernon,50.2581,-119.2691,33.5,23,7,1.54,CA,1689533787
345,smirnykh,49.75,142.8333,12.75,98,100,1.14,RU,1689533787
346,kiffa,16.6166,-11.4045,36.9,34,100,4.76,MR,1689533787
